Name,Short Name,Type,Family,Tradition,General Personality,major_id,Major Name,floor_id,Wing,Room,Class Schedule,Wing Name,Flight Name,RezCode,Residence
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,8,Political Intrigue and Diplomacy,11,Sunfire,,,,,10,Boudlerfall Enclave
,,Gold,metallic,divine,wise counselor and leader,4,Economic Dominance and Resource Management,14,Elysium,,,,,10,Boudlerfall Enclave
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,2,Dragon History,17,Nightshade,,,,,10,Boudlerfall Enclave
,,Red,chromatic,arcane,proud and arrogant,1,Prophecy,13,Nova,,,,,10,Boudlerfall Enclave
,,Indigo,wild,arcane,party going revelers,11,Arcanomechanics,10,Echo,,,,,10,Boudlerfall Enclave
,,Underworld,imperial,arcane,natural alchemists and hoarders,3,Ancient Relics and Artifacts: ,9,Nexus,,,,,1,Emberfall Heights
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,2,Dragon History,10,Echo,,,,,1,Emberfall Heights
,,Copper,metallic,arcane,prankster & hedonist,11,Arcanomechanics,14,Elysium,,,,,1,Emberfall Heights
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,10,Eldritch Engineering,16,Wildfire,,,,,1,Emberfall Heights
,,Green,chromatic,arcane,obessive and meticulous scholars,9,Magical Theory and Application,15,Seraphic,,,,,1,Emberfall Heights
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,7,Planar Studies,6,Eclipse,,,,,17,Cirrus Vale
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,12,Elemental Binding,20,Whisper,,,,,17,Cirrus Vale
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",12,Elemental Binding,1,Exalted,,,,,17,Cirrus Vale
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,4,Economic Dominance and Resource Management,19,Shadow,,,,,17,Cirrus Vale
,,Copper,metallic,arcane,prankster & hedonist,4,Economic Dominance and Resource Management,10,Echo,,,,,17,Cirrus Vale
,,White,chromatic,arcane,brutish and predatory survivalists,2,Dragon History,20,Whisper,,,,,3,Pyre Crest
,,Red,chromatic,arcane,proud and arrogant,10,Eldritch Engineering,19,Shadow,,,,,3,Pyre Crest
,,Green,chromatic,arcane,obessive and meticulous scholars,3,Ancient Relics and Artifacts: ,6,Eclipse,,,,,3,Pyre Crest
,,Gold,metallic,divine,wise counselor and leader,1,Prophecy,8,Wraith,,,,,3,Pyre Crest
,,Red,chromatic,arcane,proud and arrogant,8,Political Intrigue and Diplomacy,20,Whisper,,,,,3,Pyre Crest
,,Green,chromatic,arcane,obessive and meticulous scholars,4,Economic Dominance and Resource Management,14,Elysium,,,,,10,Boudlerfall Enclave
,,Copper,metallic,arcane,prankster & hedonist,4,Economic Dominance and Resource Management,14,Elysium,,,,,10,Boudlerfall Enclave
,,Copper,metallic,arcane,prankster & hedonist,6,Arcane Artifice and Enchantment Studies,6,Eclipse,,,,,10,Boudlerfall Enclave
,,Green,chromatic,arcane,obessive and meticulous scholars,10,Eldritch Engineering,5,Nebula,,,,,10,Boudlerfall Enclave
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,7,Planar Studies,5,Nebula,,,,,10,Boudlerfall Enclave
,,Gold,metallic,divine,wise counselor and leader,6,Arcane Artifice and Enchantment Studies,10,Echo,,,,,99,Graveyard
,,Red,chromatic,arcane,proud and arrogant,11,Arcanomechanics,6,Eclipse,,,,,99,Graveyard
,,Vortex,outer,arcane,interplanetary messengers,8,Political Intrigue and Diplomacy,6,Eclipse,,,,,99,Graveyard
,,Green,chromatic,arcane,obessive and meticulous scholars,6,Arcane Artifice and Enchantment Studies,15,Seraphic,,,,,99,Graveyard
,,Copper,metallic,arcane,prankster & hedonist,11,Arcanomechanics,9,Nexus,,,,,99,Graveyard
,,Red,chromatic,arcane,proud and arrogant,9,Magical Theory and Application,14,Elysium,,,,,13,Pearl Current Row
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",7,Planar Studies,17,Nightshade,,,,,13,Pearl Current Row
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",12,Elemental Binding,2,Empyrean,,,,,13,Pearl Current Row
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,6,Arcane Artifice and Enchantment Studies,2,Empyrean,,,,,13,Pearl Current Row
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",11,Arcanomechanics,3,Stellar,,,,,13,Pearl Current Row
,,Sea,imperial,arcane,ind & fickle,1,Prophecy,8,Wraith,,,,,99,Graveyard
,,Harlequin,wild,arcane,clever and insightful jesters,5,Mineral Extraction & Refinement,14,Elysium,,,,,99,Graveyard
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,7,Planar Studies,10,Echo,,,,,99,Graveyard
,,Red,chromatic,arcane,proud and arrogant,9,Magical Theory and Application,14,Elysium,,,,,99,Graveyard
,,Sapphire,jewel,Occult,Militaristic and warlike,2,Dragon History,6,Eclipse,,,,,99,Graveyard
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",10,Eldritch Engineering,12,Whirlwind,,,,,19,Whirlwind Rise
,,White,chromatic,arcane,brutish and predatory survivalists,10,Eldritch Engineering,14,Elysium,,,,,19,Whirlwind Rise
,,Brass,metallic,arcane,curious & short attention span,4,Economic Dominance and Resource Management,19,Shadow,,,,,19,Whirlwind Rise
,,Lunar,outer,arcane,nosy interplanetary people watchers,10,Eldritch Engineering,3,Stellar,,,,,19,Whirlwind Rise
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,7,Planar Studies,16,Wildfire,,,,,19,Whirlwind Rise
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,7,Planar Studies,16,Wildfire,,,,,9,Terrashield Keep
,,Umbral,primal,primal,malicious hunters of the undead,5,Mineral Extraction & Refinement,5,Nebula,,,,,9,Terrashield Keep
,,Copper,metallic,arcane,prankster & hedonist,9,Magical Theory and Application,14,Elysium,,,,,9,Terrashield Keep
,,Green,chromatic,arcane,obessive and meticulous scholars,10,Eldritch Engineering,11,Sunfire,,,,,9,Terrashield Keep
,,Gold,metallic,divine,wise counselor and leader,12,Elemental Binding,8,Wraith,,,,,9,Terrashield Keep
,,Copper,metallic,arcane,prankster & hedonist,5,Mineral Extraction & Refinement,2,Empyrean,,,,,4,Crystalmount Rise
,,Red,chromatic,arcane,proud and arrogant,7,Planar Studies,14,Elysium,,,,,4,Crystalmount Rise
,,Red,chromatic,arcane,proud and arrogant,4,Economic Dominance and Resource Management,11,Sunfire,,,,,4,Crystalmount Rise
,,Red,chromatic,arcane,proud and arrogant,10,Eldritch Engineering,9,Nexus,,,,,4,Crystalmount Rise
,,White,chromatic,arcane,brutish and predatory survivalists,6,Arcane Artifice and Enchantment Studies,14,Elysium,,,,,4,Crystalmount Rise
