Name,Short Name,Type,Family,Tradition,General Personality,major_id,Major Name,floor_id,Wing,Room,Class Schedule,Wing Name,Flight Name,RezCode,Residence
,,Brass,metallic,arcane,curious & short attention span,12,Elemental Binding,3,Stellar,,,,,10,Boudlerfall Enclave
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,9,Magical Theory and Application,1,Exalted,,,,,10,Boudlerfall Enclave
,,Emerald,jewel,arcane,"inquisitive, knowledgeable sage",4,Economic Dominance and Resource Management,8,Wraith,,,,,10,Boudlerfall Enclave
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,4,Economic Dominance and Resource Management,17,Nightshade,,,,,10,Boudlerfall Enclave
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,9,Magical Theory and Application,2,Empyrean,,,,,10,Boudlerfall Enclave
,,White,chromatic,arcane,brutish and predatory survivalists,9,Magical Theory and Application,5,Nebula,,,,,1,Emberfall Heights
,,Underworld,imperial,arcane,natural alchemists and hoarders,8,Political Intrigue and Diplomacy,3,Stellar,,,,,1,Emberfall Heights
,,White,chromatic,arcane,brutish and predatory survivalists,3,Ancient Relics and Artifacts: ,16,Wildfire,,,,,1,Emberfall Heights
,,Red,chromatic,arcane,proud and arrogant,5,Mineral Extraction & Refinement,4,Wisp,,,,,1,Emberfall Heights
,,White,chromatic,arcane,brutish and predatory survivalists,11,Arcanomechanics,13,Nova,,,,,1,Emberfall Heights
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,7,Planar Studies,13,Nova,,,,,17,Cirrus Vale
,,Indigo,wild,arcane,party going revelers,4,Economic Dominance and Resource Management,6,Eclipse,,,,,17,Cirrus Vale
,,Green,chromatic,arcane,obessive and meticulous scholars,8,Political Intrigue and Diplomacy,8,Wraith,,,,,17,Cirrus Vale
,,Emerald,jewel,arcane,"inquisitive, knowledgeable sage",11,Arcanomechanics,16,Wildfire,,,,,17,Cirrus Vale
,,Red,chromatic,arcane,proud and arrogant,1,Prophecy,17,Nightshade,,,,,17,Cirrus Vale
,,Dream,esoteric,Occult," wanderers, hunters, masters, and guardians of the Dreamland",3,Ancient Relics and Artifacts: ,11,Sunfire,,,,,3,Pyre Crest
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,5,Mineral Extraction & Refinement,5,Nebula,,,,,3,Pyre Crest
,,Brine,primal,primal,rigid courtsey & discipline,2,Dragon History,9,Nexus,,,,,3,Pyre Crest
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",9,Magical Theory and Application,15,Seraphic,,,,,3,Pyre Crest
,,Vortex,outer,arcane,interplanetary messengers,4,Economic Dominance and Resource Management,6,Eclipse,,,,,3,Pyre Crest
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,6,Arcane Artifice and Enchantment Studies,2,Empyrean,,,,,10,Boudlerfall Enclave
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,9,Magical Theory and Application,5,Nebula,,,,,10,Boudlerfall Enclave
,,Apocolypse,planar,divine,despoiler & destroyer,12,Elemental Binding,9,Nexus,,,,,10,Boudlerfall Enclave
,,Void,outer,arcane,corrupted destroyers,9,Magical Theory and Application,10,Echo,,,,,10,Boudlerfall Enclave
,,White,chromatic,arcane,brutish and predatory survivalists,12,Elemental Binding,1,Exalted,,,,,10,Boudlerfall Enclave
,,Red,chromatic,arcane,proud and arrogant,5,Mineral Extraction & Refinement,18,Enigma,,,,,99,Graveyard
,,White,chromatic,arcane,brutish and predatory survivalists,8,Political Intrigue and Diplomacy,18,Enigma,,,,,99,Graveyard
,,Gold,metallic,divine,wise counselor and leader,8,Political Intrigue and Diplomacy,19,Shadow,,,,,99,Graveyard
,,Tumult,planar,divine,capricious seekers of change,5,Mineral Extraction & Refinement,2,Empyrean,,,,,99,Graveyard
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",1,Prophecy,18,Enigma,,,,,99,Graveyard
,,Forest,imperial,primal,guardians of nature,10,Eldritch Engineering,20,Whisper,,,,,13,Pearl Current Row
,,Brine,primal,primal,rigid courtsey & discipline,6,Arcane Artifice and Enchantment Studies,13,Nova,,,,,13,Pearl Current Row
,,Copper,metallic,arcane,prankster & hedonist,9,Magical Theory and Application,15,Seraphic,,,,,13,Pearl Current Row
,,Gold,metallic,divine,wise counselor and leader,11,Arcanomechanics,5,Nebula,,,,,13,Pearl Current Row
,,Void,outer,arcane,corrupted destroyers,11,Arcanomechanics,20,Whisper,,,,,13,Pearl Current Row
,,Umbral,primal,primal,malicious hunters of the undead,7,Planar Studies,12,Whirlwind,,,,,99,Graveyard
,,Solar,outer,arcane,uber arrogant,10,Eldritch Engineering,17,Nightshade,,,,,99,Graveyard
,,Havoc,planar,divine,passionate artists,1,Prophecy,16,Wildfire,,,,,99,Graveyard
,,Umbral,primal,primal,malicious hunters of the undead,5,Mineral Extraction & Refinement,2,Empyrean,,,,,99,Graveyard
,,White,chromatic,arcane,brutish and predatory survivalists,10,Eldritch Engineering,6,Eclipse,,,,,99,Graveyard
,,Gold,metallic,divine,wise counselor and leader,8,Political Intrigue and Diplomacy,14,Elysium,,,,,19,Whirlwind Rise
,,Copper,metallic,arcane,prankster & hedonist,8,Political Intrigue and Diplomacy,19,Shadow,,,,,19,Whirlwind Rise
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,6,Arcane Artifice and Enchantment Studies,17,Nightshade,,,,,19,Whirlwind Rise
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",3,Ancient Relics and Artifacts: ,20,Whisper,,,,,19,Whirlwind Rise
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,3,Ancient Relics and Artifacts: ,18,Enigma,,,,,19,Whirlwind Rise
,,Green,chromatic,arcane,obessive and meticulous scholars,6,Arcane Artifice and Enchantment Studies,12,Whirlwind,,,,,9,Terrashield Keep
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",7,Planar Studies,8,Wraith,,,,,9,Terrashield Keep
,,Edict,planar,divine,"planner, order bringer, & corruption purger",3,Ancient Relics and Artifacts: ,18,Enigma,,,,,9,Terrashield Keep
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,9,Magical Theory and Application,7,Starlight,,,,,9,Terrashield Keep
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",4,Economic Dominance and Resource Management,19,Shadow,,,,,9,Terrashield Keep
,,Brass,metallic,arcane,curious & short attention span,3,Ancient Relics and Artifacts: ,6,Eclipse,,,,,4,Crystalmount Rise
,,Red,chromatic,arcane,proud and arrogant,1,Prophecy,1,Exalted,,,,,4,Crystalmount Rise
,,Gold,metallic,divine,wise counselor and leader,9,Magical Theory and Application,20,Whisper,,,,,4,Crystalmount Rise
,,Brass,metallic,arcane,curious & short attention span,6,Arcane Artifice and Enchantment Studies,14,Elysium,,,,,4,Crystalmount Rise
,,Topaz,jewel,arcane,selfish and unsociable,9,Magical Theory and Application,18,Enigma,,,,,4,Crystalmount Rise
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,1,Prophecy,12,Whirlwind,,,,,99,Graveyard
,,Indigo,wild,arcane,party going revelers,12,Elemental Binding,6,Eclipse,,,,,99,Graveyard
,,Bliss,planar,divine,serene healers,2,Dragon History,7,Starlight,,,,,99,Graveyard
,,Vermillion,wild,arcane,thrill seekers who love to tell tall tales,8,Political Intrigue and Diplomacy,17,Nightshade,,,,,99,Graveyard
